Citation,Citation Link,Protein,Protein codes,Protein Concentration (%),Treatment code,Treatment condition code,Treatment condition value,Treatment temperature ( °C),Treatment time (min),Additives,Additives Concentration (%),pH,Type of salt,ionic strength (M),Heating temperature (°C) for gel preparation,Heating/hold time (min),Samples stored (°C),Storage time (h),If a gel can be formed (0-1),Hardness/firmness/strength (g)
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,0,0,,,,80203,1,7,0,0,90,30,4,12,1,58.38
"Zhang, L.; Ge, H.; Zhao, J.; Liu, C.; Wang, Y. L-Theanine Improves the Gelation of Ginkgo Seed Proteins at Different pH Levels. Gels 2024, 10, 131.",https://doi.org/10.3390/gels10020131,Ginkgo Seed Protein Isolate (GSPI),10501,12,0,0,,,,80203,2,7,0,0,90,30,4,12,1,97.65
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Lentil Protein Isolate (LPI),10107,14,0,0,,,,0,0,3,0,0,90,30,4,12,1,606.48
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Lentil Protein Isolate (LPI),10107,14,0,0,,,,0,0,5,0,0,90,30,4,12,0,0
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Lentil Protein Isolate (LPI),10107,14,0,0,,,,0,0,7,0,0,90,30,4,12,1,461.78
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Lentil Protein Isolate (LPI),10107,14,0,0,,,,0,0,9,0,0,90,30,4,12,0,0
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Whey Protein Isolate (WPI),30105,14,0,0,,,,0,0,3,0,0,90,30,4,12,1,545.95
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Whey Protein Isolate (WPI),30105,14,0,0,,,,0,0,5,0,0,90,30,4,12,1,622.05
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Whey Protein Isolate (WPI),30105,14,0,0,,,,0,0,7,0,0,90,30,4,12,1,1930.95
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Whey Protein Isolate (WPI),30105,14,0,0,,,,0,0,9,0,0,90,30,4,12,1,1202.44
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Soy Protein Isolate (SPI),10301,14,0,0,,,,0,0,3,0,0,90,30,4,12,1,125.95
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Soy Protein Isolate (SPI),10301,14,0,0,,,,0,0,5,0,0,90,30,4,12,0,0
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Soy Protein Isolate (SPI),10301,14,0,0,,,,0,0,7,0,0,90,30,4,12,1,251.82
"Qi Tang, Yrjö H. Roos, Song Miao,Comparative studies of structural and thermal gelation behaviours of soy, lentil and whey protein: A pH-dependency evaluation,Food Hydrocolloids,Volume 146,Part A,2024,109240,0268-005X",https://doi.org/10.1016/j.foodhyd.2023.109240,Soy Protein Isolate (SPI),10301,14,0,0,,,,0,0,9,0,0,90,30,4,12,1,319.56
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Soy Protein Isolate (SPI),10301,15,20301,0,0,,,0,0,7,0,0,95,10,,,1,1957.82
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Pea Protein Isolate (PPI),10401,20,20301,0,0,,,0,0,7,0,0,95,20,,,1,1172.66
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Pea Protein Isolate (PPI) ,10401,20,0,0,0,,,0,0,7,0,0,95,20,,,1,1091.08
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Pea Protein Isolate (PPI) ,10401,20,10101,10103,0.198,50,5,0,0,7,0,0,95,20,,,1,1651.91
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Chickpea Protein Concentration ,10417,20,20301,0,0,,,0,0,7,0,0,95,20,,,1,1356.2
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Chickpea Protein Isolate,10412,20,0,0,0,,,0,0,7,0,0,95,20,,,1,1560.14
"Yaputri, B.P.; Feyzi, S.; Ismail, B.P. Transglutaminase-Induced Polymerization of Pea and Chickpea Protein to Enhance Functionality. Gels 2024, 10, 11.",https://doi.org/ 10.3390/gels10010011,Chickpea Protein Isolate,10412,20,10101,10103,3,50,5,0,0,7,0,0,95,20,,,1,1876.25
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,15,0,0,,,,0,0,7,60210,0.1,90,30,4,12,1,77.6
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,16,0,0,,,,0,0,7,60210,0.1,90,30,4,12,1,95.44
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,0,0,7,60210,0.1,90,30,4,12,1,142.76
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,20,0,0,,,,0,0,7,60210,0.1,90,30,4,12,1,183.55
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20204,0.2,7,60210,0.1,90,30,4,12,1,60.06
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20204,0.5,7,60210,0.1,90,30,4,12,1,72.4
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20204,1,7,60210,0.1,90,30,4,12,1,474.16
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20204,1.5,7,60210,0.1,90,30,4,12,1,681.16
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20204,2.5,7,60210,0.1,90,30,4,12,1,760.7
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20204,0.2,7,60210,0.1,90,30,4,12,1,111.96
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20204,0.5,7,60210,0.1,90,30,4,12,1,426.23
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20204,1,7,60210,0.1,90,30,4,12,1,657.71
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20204,1.5,7,60210,0.1,90,30,4,12,1,1080.88
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20204,2.5,7,60210,0.1,90,30,4,12,1,1630.5
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20203,0.2,7,60210,0.1,90,30,4,12,1,51.49
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20203,1,7,60210,0.1,90,30,4,12,1,538.4
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20203,1.5,7,60210,0.1,90,30,4,12,1,854.51
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20203,2,7,60210,0.1,90,30,4,12,1,1016.64
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,10,0,0,,,,20203,2.5,7,60210,0.1,90,30,4,12,1,1375.58
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20203,0.2,7,60210,0.1,90,30,4,12,1,169.27
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20203,1,7,60210,0.1,90,30,4,12,1,1309.29
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20203,1.5,7,60210,0.1,90,30,4,12,1,1714.12
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20203,2,7,60210,0.1,90,30,4,12,1,2269.85
"Sisheng Li, Minna Luo, Minghe Wang, Xiaoyan Hu, Jaekun Ryu, David Julian McClements,Development of novel protein-rich foods: Studies of composite hydrogels formed from potato proteins and gellan gums with different degrees of acylation,Food Hydrocolloids,Volume 157,2024,110387,ISSN 0268-005X",https://doi.org/10.1016/j.foodhyd.2024.110387,Potato Protein,12002,18,0,0,,,,20203,2.5,7,60210,0.1,90,30,4,12,1,2644.08
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,0.1,20,5,0,0,6.6,0,0,70,15,8,,1,10520.24
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,250,20,5,0,0,6.6,0,0,70,15,8,,1,12953.25
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,300,20,5,0,0,6.6,0,0,70,15,8,,1,15610.59
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,350,20,5,0,0,6.6,0,0,70,15,8,,1,12594.31
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,0.1,20,10,0,0,6.6,0,0,70,15,8,,1,10520.24
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,250,20,10,0,0,6.6,0,0,70,15,8,,1,13462.08
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,300,20,10,0,0,6.6,0,0,70,15,8,,1,17690.78
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,350,20,10,0,0,6.6,0,0,70,15,8,,1,17337.96
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,0.1,20,15,0,0,6.6,0,0,70,15,8,,1,10520.24
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,250,20,15,0,0,6.6,0,0,70,15,8,,1,17377.73
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,300,20,15,0,0,6.6,0,0,70,15,8,,1,17761.13
"Sandra Horvitz, Cristina Arroqui, Paloma Vírseda,Mild high hydrostatic pressure processing: Effects on techno-functional properties and allergenicity of ovalbumin,Journal of Food Engineering,Volume 364,2024,111797,ISSN 0260-8774",https://doi.org/10.1016/j.jfoodeng.2023.111797,Egg ovalbumin Protein,30304,25,30202,30201,350,20,15,0,0,6.6,0,0,70,15,8,,1,16633.35
"Qiongling Chen, Xiaowen Wang, Yu Wang, Tianqi Guo, Peihan Guan, Jinyu Hou, Zhenjia Chen,Effects of inulin with different polymerization degrees on the structural and gelation properties of potato protein,Food Chemistry: X,Volume 22,2024,101405,ISSN 2590-1575",https://doi.org/10.1016/j.fochx.2024.101405,Potato Protein Isolate ,12001,25,0,0,,,,0,0,,0,0,90,30,4,12,1,53.02
"Qiongling Chen, Xiaowen Wang, Yu Wang, Tianqi Guo, Peihan Guan, Jinyu Hou, Zhenjia Chen,Effects of inulin with different polymerization degrees on the structural and gelation properties of potato protein,Food Chemistry: X,Volume 22,2024,101405,ISSN 2590-1575",https://doi.org/10.1016/j.fochx.2024.101405,Potato Protein Isolate ,12001,25,0,0,,,,80205,0.5,,0,0,90,30,4,12,1,63.22
"Qiongling Chen, Xiaowen Wang, Yu Wang, Tianqi Guo, Peihan Guan, Jinyu Hou, Zhenjia Chen,Effects of inulin with different polymerization degrees on the structural and gelation properties of potato protein,Food Chemistry: X,Volume 22,2024,101405,ISSN 2590-1575",https://doi.org/10.1016/j.fochx.2024.101405,Potato Protein Isolate ,12001,25,0,0,,,,80205,1,,0,0,90,30,4,12,1,75.46
"Qiongling Chen, Xiaowen Wang, Yu Wang, Tianqi Guo, Peihan Guan, Jinyu Hou, Zhenjia Chen,Effects of inulin with different polymerization degrees on the structural and gelation properties of potato protein,Food Chemistry: X,Volume 22,2024,101405,ISSN 2590-1575",https://doi.org/10.1016/j.fochx.2024.101405,Potato Protein Isolate ,12001,25,0,0,,,,80205,1.5,,0,0,90,30,4,12,1,79.54
"Qiongling Chen, Xiaowen Wang, Yu Wang, Tianqi Guo, Peihan Guan, Jinyu Hou, Zhenjia Chen,Effects of inulin with different polymerization degrees on the structural and gelation properties of potato protein,Food Chemistry: X,Volume 22,2024,101405,ISSN 2590-1575",https://doi.org/10.1016/j.fochx.2024.101405,Potato Protein Isolate ,12001,25,0,0,,,,80205,2,,0,0,90,30,4,12,1,80.56
